transaction_id,customer_id,product,category,quantity,price,revenue,date,region
1,9835,Camera,Electronics,9,379.51,3415.59,2024-09-08,South
2,77621,Keyboard,Accessories,9,255.59,2300.31,2023-08-19,East
3,65802,Monitor,Electronics,9,304.39,2739.51,2023-05-14,Central
4,44448,Laptop,Electronics,8,369.53,2956.24,2024-08-08,North
5,43868,Mouse,Accessories,5,153.1,765.5,2023-07-17,East
6,86001,Speaker,Audio,7,73.26,512.82,2024-12-07,West
7,9508,Phone,Electronics,3,94.84,284.52,2023-12-29,West
8,70039,Tablet,Electronics,7,198.71,1390.97,2024-06-20,West
9,20945,Keyboard,Accessories,7,,0.0,2024-12-08,South
10,10323,Keyboard,Accessories,4,430.12,1720.48,2023-11-29,South
11,53121,Monitor,Electronics,6,336.82,2020.92,2024-01-24,West
12,97586,Phone,Electronics,4,190.79,763.16,2024-07-22,North
13,73839,Monitor,Electronics,8,182.24,1457.92,2024-02-08,East
14,76352,Keyboard,Accessories,2,218.65,437.3,2024-12-29,Central
15,72030,Phone,Electronics,8,252.49,2019.92,2023-05-08,West
16,78820,Mouse,Accessories,7,194.93,1364.51,2024-12-31,
17,51809,Camera,Electronics,3,491.61,1474.83,2023-03-17,West
18,13683,Laptop,Electronics,2,27.01,54.02,2024-10-31,Central
19,84135,Laptop,Electronics,6,345.39,2072.34,2024-05-08,North
20,45588,Keyboard,Accessories,9,299.62,2696.58,2024-08-11,North
21,50534,Printer,Office,4,199.71,798.84,2023-09-22,West
22,37709,Phone,Electronics,3,,0.0,2024-07-16,East
23,19072,Speaker,Audio,9,368.71,3318.39,2023-12-31,West
24,92749,Monitor,Electronics,6,24.96,149.76,2024-08-29,East
25,78375,Phone,Electronics,4,361.61,1446.44,2023-02-15,South
26,64742,Monitor,Electronics,4,331.1,1324.4,2024-03-23,East
27,40839,Monitor,Electronics,1,148.63,148.63,2023-06-22,East
28,82453,Headphones,Accessories,8,,0.0,2024-10-30,North
29,54997,Keyboard,Accessories,5,274.59,1372.95,2023-01-22,East
30,44898,Tablet,Electronics,8,159.58,1276.64,2024-01-30,East
31,45595,Speaker,Audio,3,,0.0,2023-05-19,North
32,23496,Tablet,Electronics,1,124.19,124.19,2023-08-25,North
33,10121,Camera,Electronics,1,473.76,473.76,2023-09-03,South
34,55903,Camera,Electronics,6,56.16,336.96,2023-11-12,East
35,88901,Monitor,Electronics,9,130.25,1172.25,2023-08-28,West
36,7317,Phone,Electronics,7,249.05,1743.35,2024-04-03,South
37,85970,Speaker,Audio,7,238.64,1670.48,2023-07-02,Central
38,82935,Keyboard,Accessories,5,,0.0,2023-06-01,East
39,28399,Headphones,Accessories,2,,0.0,2024-05-14,Central
40,63534,Phone,Electronics,6,399.14,2394.84,2023-08-02,West
41,17357,Headphones,Accessories,4,83.5,334.0,2024-12-11,East
42,76050,Mouse,Accessories,1,119.48,119.48,2024-12-20,South
43,70351,Keyboard,Accessories,3,43.8,131.4,2024-02-05,Central
44,36098,Laptop,Electronics,7,332.35,2326.45,2023-01-16,South
45,7724,Printer,Office,8,212.13,1697.04,2023-10-11,Central
46,97099,Headphones,Accessories,3,136.11,408.33,2024-03-12,South
47,45123,Phone,Electronics,7,420.5,2943.5,2024-10-17,West
48,89418,Mouse,Accessories,9,472.92,4256.28,2023-11-20,East
49,68113,Printer,Office,1,,0.0,2024-02-13,East
50,78059,Camera,Electronics,4,402.31,1609.24,2023-07-11,
51,76230,Laptop,Electronics,1,47.92,47.92,2023-01-17,North
52,20269,Headphones,Accessories,2,346.98,693.96,2023-07-14,West
53,37026,Tablet,Electronics,8,234.73,1877.84,2024-07-20,West
54,47205,Keyboard,Accessories,8,370.83,2966.64,2023-02-21,North
55,50281,Speaker,Audio,9,73.32,659.88,2023-10-26,South
56,5336,Phone,Electronics,6,460.67,2764.02,2024-10-20,North
57,55110,Mouse,Accessories,9,441.21,3970.89,2023-05-28,Central
58,16274,Monitor,Electronics,7,195.26,1366.82,2024-04-17,North
59,74594,Monitor,Electronics,2,66.79,133.58,2023-09-05,South
60,68621,Speaker,Audio,5,,0.0,2024-11-19,West
61,92330,Printer,Office,4,399.83,1599.32,2024-07-11,
62,74731,Laptop,Electronics,1,47.23,47.23,2023-03-27,West
63,37297,Monitor,Electronics,2,247.07,494.14,2024-07-10,Central
64,96783,Printer,Office,9,41.6,374.4,2024-05-16,South
65,41674,Phone,Electronics,9,401.51,3613.59,2023-08-19,South
66,33256,Keyboard,Accessories,9,32.76,294.84,2024-01-03,West
